-2164,-769,87
-2062,-647,80
-1946,-536,73
-1816,-434,65
-1670,-343,58
-1510,-263,51
-1336,-193,43
-1147,-134,36
-943,-86,29
-725,-48,21
-492,-21,14
-245,-5,7
17,0,0
293,-5,-7
585,-21,-14
890,-48,-21
1210,-86,-29
1545,-134,-36
1895,-193,-43
2259,-263,-51
2637,-343,-58
3030,-434,-65
3438,-536,-73
3861,-647,-80
4251,-769,-87
4251,-900,-95
