93418268,-2249,-900,95,0
93533700,-2141,-770,88,0
93649084,-2021,-647,80,-12
93764440,-1890,-536,73,-20
93879852,-1748,-434,65,-20
93995204,-1595,-343,58,-20
94110580,-1430,-263,51,-20
94226024,-1253,-193,43,-20
94341364,-1067,-134,36,-20
94456744,-868,-86,29,-20
94572136,-658,-48,21,-20
94687528,-437,-21,14,-20
94802884,-205,-5,7,-20
94918332,39,0,0,-20
95033656,292,-5,-7,-20
95149076,559,-21,-14,-20
95264444,837,-48,-21,-20
95379832,1127,-86,-29,-20
95495192,1426,-134,-36,-20
95610600,1737,-193,-43,-20
95726088,2061,-264,-51,-20
95841336,2394,-342,-58,-20
95956764,2739,-434,-65,-20
96072180,3097,-536,-73,-20
96187516,3464,-647,-80,-20
96303008,3844,-770,-87,-20
96419464,4233,-900,-95,-20
