21760336,-2450,-900,95,251
21875752,-2342,-769,88,359
21991112,-2222,-647,81,479
22106492,-2091,-536,74,610
22221904,-1948,-435,66,753
22337284,-1794,-345,59,907
22452680,-1629,-265,52,1072
22568068,-1452,-195,44,1249
22683468,-1264,-136,37,1437
22798836,-1064,-88,30,1637
22914216,-853,-51,22,1848
23029572,-631,-24,15,2070
23144992,-397,-8,8,2304
23260468,-152,-2,0,2549
23375780,105,-7,-7,2806
23491104,373,-23,-14,3074
23606488,652,-50,-21,3353
23721864,943,-87,-29,3644
23837300,1246,-135,-36,3947
23952644,1559,-194,-43,4260
24068048,1885,-264,-51,4586
24183452,2222,-344,-58,4923
24298820,2570,-434,-65,5271
24414216,2930,-535,-73,5631
24529652,3302,-646,-80,6003
24645020,3684,-768,-87,6385
24760844,4051,-899,-95,6752
24875704,4051,-900,-95,6752
109323832,-2115,-508,71,586
109439332,-1993,-447,66,708
109554624,-1862,-389,61,839
109670016,-1725,-333,55,976
109785384,-1580,-280,50,1121
109900808,-1428,-230,44,1273
110016180,-1269,-184,39,1432
110131520,-1103,-142,33,1598
110246904,-931,-103,28,1770
110362320,-753,-70,22,1948
110477684,-568,-42,17,2133
110593060,-377,-21,11,2324
110708448,-180,-7,6,2521
110823832,23,-2,0,2724
110939228,231,-7,-5,2932
111054596,446,-21,-10,3147
111170016,665,-42,-16,3366
111285464,891,-70,-21,3592
111400768,1121,-103,-27,3822
111516164,1357,-142,-32,4058
111631520,1597,-184,-38,4298
111746900,1843,-231,-43,4544
111862308,2093,-281,-49,4794
111977708,2349,-334,-54,5050
112093060,2609,-390,-60,5310
112208520,2874,-448,-65,5575
112324356,3135,-508,-71,5836
